variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-70034.4017375,-70285.9,956.6246601146671,742.1895599999978,-71119.7,-67845.095,1.26463674600314,12.199675482908725,20.627731290761787
beta,18.54801963125,18.53855,1.176206157560424,1.1720694299999994,16.615070000000003,20.47861,1.0003253781040131,6088.094555035797,10145.343709222117
s[1],-4.423556864854312,-3.32791,5.782359146088351,5.5276628295000005,-14.940109999999999,3.278906999999999,1.009497905824597,637.8429551965276,5654.279708246848
s[2],0.199169271111125,0.1037015,4.822141168322736,3.9207824019000004,-7.8561755,8.450496999999999,1.0079429208409219,9816.67971353767,8356.08344290681
s[3],-0.8329532848558125,-0.4289405,4.8333692778018005,3.9336269070000003,-9.259011,6.938380999999995,1.0076679745855037,9249.383302500484,7243.525376897312
s[4],-6.58377396335625,-5.551880000000001,6.7925219967597785,7.6512894024,-18.711159999999996,2.160778499999998,1.0142772295435045,408.95064900902497,5183.4676691096465
s[5],2.2829382860681875,1.373395,5.2278213859538205,4.445383362,-5.4686205,11.891359999999999,1.0043583602286603,1608.4342667792287,7137.203202315096
s[6],5.136615126771438,4.123480000000001,6.0911141725605535,6.206710308749999,-2.9766179999999998,16.233375,1.0112189289002207,500.26077953888426,5098.060568806994
s[7],-2.1221593739402875,-1.3605450000000001,5.057416838002969,4.301096729999999,-11.231015,5.598132999999999,1.0050533570647056,1970.4099642862025,5687.303471156776
s[8],-2.878393357299625,-1.9592800000000001,5.282162839482728,4.536696696,-12.592305,4.826259499999998,1.003774024559506,1257.7624188780867,5562.270565990077
s[9],2.1394905115180625,1.3890950000000002,4.994361522578985,4.254187266,-5.3868979999999995,11.118784999999999,1.0040352106497918,2493.805571289672,5510.975945676241
s[10],-4.1099324258410626,-2.9913,5.718808117547248,5.2625561583,-14.735425,3.597381,1.008789654307956,745.8177504025406,4534.546252509466
s[11],3.165736991494,2.201415,5.311755873265984,4.712095689,-4.411980499999999,12.877924999999998,1.0051513751478718,1115.671368974567,6101.250480421817
s[12],9.662486127728355,8.89944,8.597405651295746,10.949297520000002,-1.3211179999999998,24.400634999999994,1.0197839476529558,283.20658309224035,4236.727130962958
s[13],-1.774362936765075,-1.068115,4.960978626194698,4.149656553,-10.64175,5.8491539999999995,1.00597244552586,3272.331394935322,5665.576790965126
s[14],-0.196161110903,-0.1190625,4.816702165796261,3.989283711,-8.328202000000001,7.939009499999991,1.0073540172852773,10531.391792597824,7518.428681843178
s[15],-0.7643505565475625,-0.39758899999999997,4.750160708463229,3.9161174009999997,-9.186968499999999,6.996535499999996,1.0058598222695665,10982.306871945333,9628.073237803808
s[16],-5.357144573631869,-4.3574,6.171170000007675,6.38965099143,-16.511805000000003,2.8164429999999996,1.0122702099057663,484.92841873481575,4496.818828448067
s[17],-2.5303967346063123,-1.686685,5.160848048359891,4.401001731,-11.915754999999999,5.0665055,1.004672816966103,1511.201601586649,4829.326286210872
s[18],-1.1262325047485875,-0.6430214999999999,4.865684218154,4.0523186739,-9.7038255,6.6558409999999935,1.0062453175207977,6749.061160561519,7174.641424710096
s[19],5.922425896433706,4.96349,6.4284083592795636,7.035662732699999,-2.464102,17.570524999999996,1.0113858980743453,448.4935376437422,4313.213122458568
s[20],-3.4698966368606876,-2.50799,5.410912790887253,4.839422118299999,-13.37234,4.078323499999992,1.0059991351523867,822.5631242162707,5072.919576288795
s[21],0.574763849317525,0.290257,4.818379808973595,3.9125220959999996,-7.255099,9.100854999999996,1.0073045160139986,9999.740001904467,7511.339932400457
s[22],0.9103359311995625,0.488356,4.810521916578475,3.9395943719999993,-6.945561,9.409345999999996,1.0065896104094616,9595.03792809846,7797.603631176598
s[23],-5.447284630710812,-4.37658,6.168499812165427,6.449562042,-16.602935000000002,2.633315999999998,1.0118469109255843,453.96758655654037,3961.294643955435
s[24],-1.01250444171395,-0.587638,4.803621416597035,3.9283295771999995,-9.4676665,6.763614499999998,1.005832359331506,8085.393779018853,6692.012096219957
s[25],-6.240203307463062,-5.13001,6.632187964906594,7.246030329300001,-18.108814999999996,2.362319999999997,1.0149965895184512,399.78389836637734,5242.663099854211
s[26],-4.31117416828,-3.250775,5.710359391160879,5.3843413701,-14.74314,3.460686499999999,1.0078275566978268,616.9611430931881,3824.5887374067743
s[27],-0.42885329542463124,-0.222664,4.793014816097632,3.9180759156000002,-8.677992499999998,7.451662,1.009080843472904,10292.966651050365,7174.147418044337
s[28],-0.3309382474218125,-0.18026399999999998,4.75558277240687,3.8673991649999993,-8.4969555,7.645179499999994,1.0072016164693485,10417.78087425861,7655.136928557055
