variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-37725.00209375,-37731.2,46.334173859263025,39.14064000000216,-37788.4,-37639.995,1.018133111331103,218.92320070137643,116.99099191960347
beta,18.5410555875,18.5223,1.3245506445303064,1.284153989999999,16.349739999999997,20.738519999999998,1.0047567838913933,1134.1587832368575,2122.8527574120153
s[1],-11.0260723628125,-11.0195,3.2206292662659464,3.2273978099999985,-16.337845,-5.7465905,1.0019314021054744,3603.954818876823,7563.198931403094
s[2],1.7356263151088438,1.69912,3.192848505452503,3.191429934,-3.511901,6.973443999999999,1.0017963328167354,3567.5793265281955,6540.779042003599
s[3],0.5195278698075,0.507294,3.167304874004065,3.1642746323999997,-4.6733905,5.7643155,1.0006330313538085,4441.206524328866,9132.343650442226
s[4],-15.747902761875,-15.761949999999999,3.209320415550116,3.215018099999998,-20.980365,-10.419984999999999,1.0009532575848517,3408.3293990054176,7745.586273504522
s[5],10.47364258201875,10.4976,3.3858075681516353,3.3761767199999992,4.9284275,16.0534,1.0014039993022732,3138.1486026423204,6910.901888151272
s[6],11.2347013795625,11.22995,3.1964785488959824,3.1608364830000006,5.914346000000001,16.530154999999997,1.0008140906073832,4612.641802160662,8260.521777504107
s[7],-9.711154067561875,-9.71279,3.2320469163476075,3.228094632,-14.981005,-4.36549,1.0003538805545902,3740.631740402504,7646.0266421775605
s[8],-8.072139048760626,-8.025885,3.1914246926365792,3.191615258999998,-13.385015000000001,-2.873961500000001,1.0009848497817007,3790.3011425070304,8312.349859185642
s[9],4.615017768911938,4.638095,3.255172085679726,3.254662824,-0.7794186,9.900460499999996,1.0025176753951957,3129.631837673698,8119.275945006671
s[10],-9.83699379928125,-9.793105,3.3353171915297377,3.319504335000001,-15.387880000000001,-4.377563000000002,1.000630391351482,4232.069915352614,7815.812119947962
s[11],7.245908997415,7.263669999999999,3.22319349087311,3.215781638999999,1.9574330000000002,12.521895,1.0012135790776706,3626.7428728302616,8020.073567502674
s[12],28.95808795,28.937199999999997,3.4573384517563395,3.454235609999998,23.223284999999997,34.66141,1.0022904999437687,3899.2557909453926,7922.066875358696
s[13],-5.807229272802125,-5.8533349999999995,3.217951507441809,3.1665815580000003,-11.0454,-0.43921425000000275,1.0013276023734676,3194.859606528316,6786.653890344096
s[14],1.1611524210871937,1.18195,3.198999027240251,3.2001001788,-4.129584,6.45327,1.0013445255192028,3982.946655653125,7274.256013932019
s[15],2.4667292684067,2.46509,3.3768620892595043,3.3902176833000004,-3.0639619999999996,8.005830499999997,1.0026051568134342,2890.514840230931,7495.445659813591
s[16],-12.4665850821875,-12.43055,3.308515599057757,3.2809196700000016,-17.931335,-7.069006,1.0009777547312857,4150.319554899832,7624.733171263525
s[17],-6.873682088317106,-6.931620000000001,3.2145026461321855,3.2195252039999995,-12.15026,-1.6138835000000002,1.0017765843003867,3473.725736100757,8356.867375006228
s[18],-0.8242874590219375,-0.781002,3.304314784790111,3.3006382499999996,-6.3262885,4.611178999999998,1.0017264813697542,3714.2745777500913,7282.289280420452
s[19],16.053151814375,16.0671,3.2401855288530412,3.248005949999999,10.770195000000001,21.381349999999998,1.0010320571593843,4118.377820100572,7681.4082013922625
s[20],-7.549149474878062,-7.569595,3.199910775656782,3.1863297900000007,-12.74678,-2.1624540000000008,1.001133420928826,4069.8257755994887,7578.84790268828
s[21],1.2048299693306874,1.210245,3.2695865469800243,3.251290650299999,-4.163513,6.565948999999999,1.000628919816063,3439.744017124093,7431.16426130317
s[22],1.3236383189755363,1.34734,3.385618373615428,3.393397119,-4.211823,6.8665605,1.0003275454395488,3988.0424029418105,8451.837560330274
s[23],-14.627173321875,-14.59695,3.13772328697548,3.121466040000002,-19.830074999999997,-9.4396655,1.0011654943231236,4204.0399815718665,8368.118229052554
s[24],-3.190712609442875,-3.218685,3.212103832275035,3.181407558,-8.5204155,2.1377129999999975,1.0012794855057816,3694.592858719869,7620.412596514025
s[25],-16.087846202,-16.0841,3.422686045431162,3.4525306200000005,-21.642335,-10.46129,1.0023806831550688,4365.651945116472,7907.838960491486
s[26],-12.2364007925,-12.2325,3.2475940151394895,3.230363010000001,-17.581945,-6.8432595,1.001036283739359,3822.372984263156,7045.96436003302
s[27],-0.3772279355886875,-0.35883699999999996,3.290798752734076,3.2710529669999997,-5.8169965,5.022463999999998,1.0016159246707343,3801.695876072347,7835.513768214319
s[28],-0.07699689573518749,-0.07270825,3.263641875878323,3.25449491955,-5.4642225,5.3222939999999985,1.000335991565755,4387.919888118088,8476.330676134297
s[29],13.76500232125,13.751349999999999,3.299947928452204,3.2986367399999996,8.302634,19.146745,1.0012837518052606,4353.891992222506,7939.003599264953
s[30],-15.01093169,-15.01835,3.2347158159723106,3.2290286699999986,-20.353635,-9.685687999999999,1.001511384299112,4158.21014256828,8558.16244208356
s[31],-4.701987504122625,-4.688645,3.22542671966101,3.220941087,-10.033735,0.5532451999999988,1.0005680163642061,4277.8693525318,7833.894149378739
s[32],2.671081739071125,2.65684,3.6205809402481433,3.6279666779999995,-3.2330194999999997,8.672851999999994,1.0011770444918082,4218.543286384289,8296.652677561497
s[33],1.2009570979803126,1.22588,3.266846791826431,3.2869538519999995,-4.2293055,6.4730779999999974,1.0009799660941439,3832.267879062037,7318.059632683818
s[34],-12.08840215454375,-12.104700000000001,3.2752717861392657,3.2879620199999984,-17.509505,-6.755056500000003,1.0008156221891948,3411.034970469022,6907.53459696647
s[35],21.81163783625,21.768349999999998,3.5686444046268617,3.598863240000003,16.05957,27.756924999999995,1.001855342392606,2959.8466298013163,6615.440948951515
s[36],-6.026474347713062,-5.97253,3.3781084987218493,3.375012879,-11.628085,-0.546118750000002,1.0002313243727372,4781.015120789179,8933.815705571573
s[37],-6.568384264829687,-6.566065,3.201290745699528,3.188108909999999,-11.8139,-1.2915620000000032,1.000770429668961,3581.4381282540107,7682.000746490138
s[38],16.136478573125,16.16135,3.334722970076166,3.3398530199999983,10.61384,21.572785,1.0027087261698842,2559.7380119577238,5625.146568001915
s[39],-8.189447875476874,-8.17449,3.177775959108769,3.1774416030000006,-13.43382,-2.9888700000000004,1.00022669031748,3915.181757783767,7458.342825336825
s[40],-2.91973611854625,-2.9250249999999998,3.288884374476574,3.2823088661999993,-8.349158,2.577273499999995,1.0014141784184025,3821.602760297086,7183.86754797712
s[41],24.268691654375,24.316699999999997,3.3643125643004956,3.367577640000005,18.662425,29.67481,1.0009987313724957,3107.230944238103,6765.124688980364
s[42],-14.911249110625,-14.918700000000001,3.270224153429499,3.2547517800000016,-20.257755,-9.501451000000001,1.0003346596881635,3913.4551734485563,7708.637879538507
s[43],-5.562769125758125,-5.510555,3.190134171964186,3.1732754969999997,-10.8965,-0.3912162000000008,1.0012482011289034,3485.7524643066736,7762.01971559281
s[44],-5.4385844663255,-5.42884,3.2284194428128092,3.2363749529999994,-10.734324999999998,-0.19933275000000109,1.0017408688202862,3796.579488585973,7911.109122475242
s[45],-2.140916277296,-2.1664149999999998,3.2024153131574646,3.20078514,-7.406176,3.144794999999998,1.0020252986744527,4339.702152512336,7484.780707878609
s[46],-5.608231221441875,-5.580455,3.229286267269707,3.213394652999999,-10.95865,-0.2959589500000001,1.0015734141888328,4635.5926711255825,7755.422689680406
s[47],-2.2773069711826874,-2.26547,3.3308878020229837,3.2993780399999997,-7.7646775,3.2238459999999995,1.00129318336803,3868.8024903107303,7458.997855549041
s[48],-11.8041799111875,-11.767,3.185032760365054,3.1854402300000015,-17.043715000000002,-6.6090120000000026,1.0006032641799045,4233.851147231801,7580.0610145763685
s[49],-8.861646169519375,-8.877925000000001,3.2541269271201485,3.2663976029999993,-14.17453,-3.534887500000001,1.002540689813574,2493.6343090278433,5801.097566163512
s[50],2.2901336127010374,2.31954,3.3306870437225213,3.33390623727,-3.2317335,7.8098545,1.0006610860994447,4178.50773275139,8230.895412614436
s[51],-3.319635819712256,-3.3230399999999998,3.1754044332405083,3.1623858,-8.536712999999999,1.9138369999999993,1.0018351192655428,4047.120562212686,7729.390527075371
s[52],-10.67234167290625,-10.6893,3.2636987203778727,3.2889331229999996,-16.004665,-5.309898500000004,1.0009127074285589,4756.6283830463935,8422.334910755833
s[53],-16.581586611875,-16.5884,3.2703383518252553,3.2078274899999992,-21.949705,-11.168905000000002,1.0031013178762511,3544.754179573516,7462.617801114558
s[54],-4.374354792016187,-4.34533,3.4764204143968707,3.4740579719999998,-10.140205,1.2890404999999985,1.0010114029617327,4622.423556410547,9014.158319889766
s[55],-16.08884096,-16.06675,3.3326437530273716,3.366020909999999,-21.514680000000002,-10.620605000000005,1.0010772517254363,4546.860381280463,8077.311616594873
s[56],3.2395635005285626,3.2483649999999997,3.2012462197424627,3.1966635119999998,-1.9938029999999998,8.512004999999995,1.0011106735951267,3503.5686055426204,7987.1575653462605
s[57],-10.801683094125,-10.783349999999999,3.2319923161357016,3.2407634489999992,-16.099,-5.5154920000000045,1.0003352255107418,3733.428801684001,8077.016720693435
s[58],27.9251546875,27.9125,3.2713586199392055,3.270022559999998,22.538035,33.34774,1.0008008017858596,2930.273078643587,7074.8060709683305
s[59],-4.913738191007313,-4.89964,3.2745883657835892,3.2911273709999995,-10.284030000000001,0.4560344999999999,1.001334770210791,3058.819888936673,6794.219450908954
s[60],8.599184974408125,8.591445,3.289616341221134,3.306138695999999,3.2626975000000003,13.988444999999999,1.0008720236303907,3298.805780354523,5861.497481915896
s[61],-1.5342858391295375,-1.5471650000000001,3.2314468925322313,3.2091381084,-6.8886125,3.879569499999999,1.0005780757467817,3492.2939274239748,7583.404772906157
s[62],-11.619150145801875,-11.6537,3.264184904565026,3.2276795039999997,-16.936835000000002,-6.189103,1.0006314353632604,3491.721685556813,7574.303222501988
s[63],4.570825703954062,4.610275,3.21145465749783,3.1907331119999993,-0.71941555,9.802921499999998,1.000869984873472,3101.7944519043526,7703.481707621528
s[64],-3.4155731101526876,-3.3808249999999997,3.230362137372751,3.2388434819999996,-8.746567999999998,1.886316499999999,1.0011288571093249,4555.962825562832,7587.217090838428
s[65],5.067136150344562,5.044155,3.2454118399221836,3.17899092,-0.3203609999999999,10.421809999999999,1.0009341939288199,4222.057660420864,8233.791467942556
s[66],7.26572504490125,7.24794,3.191789819187603,3.188939166,2.0117805,12.537774999999996,1.0013210657259213,4152.047099405214,7526.75349862375
s[67],-16.522554256875,-16.511400000000002,3.1781988691725496,3.1630529699999967,-21.743585,-11.261270000000001,1.0011012224126676,4157.131118979371,8609.753699575525
s[68],-6.396542709255938,-6.380495,3.2449877878794458,3.2212153679999993,-11.79101,-1.050502000000002,1.000718429854582,3775.027256699591,7291.802785780851
s[69],5.039702074045631,5.055680000000001,3.291881005817955,3.264892764,-0.38659555,10.438604999999999,1.0015548142483799,3474.3007460772,7494.291651225758
s[70],58.8814744875,58.93125,3.3128080076509616,3.2872948499999946,53.381190000000004,64.25993,1.000628312128114,3181.3846965651073,7086.57407494757
s[71],-8.22110883831875,-8.200855,3.21738239929403,3.200236578000001,-13.580615,-2.9018850000000023,1.000563931510958,3905.2692644688486,8611.835401485387
s[72],-2.2071541945685627,-2.233425,3.1987447237653113,3.1893668961000006,-7.4510565,3.045838999999999,1.0004654371618082,3839.9494774726995,7867.579433649487
s[73],4.786433579127688,4.8228,3.199984035873587,3.199776972,-0.5172488999999999,9.9797135,1.0009753491518945,3829.8036904378114,7967.193363855402
s[74],24.53919418,24.523049999999998,3.311128781155056,3.302194979999997,19.085635,30.031385,1.0014948564784556,3639.121878145464,8024.089626861098
s[75],15.892373823125,15.90775,3.2329392685816414,3.19440996,10.57409,21.250134999999997,1.0012214875975691,4103.038075241211,7497.0573524490765
s[76],-11.6269304478125,-11.6678,3.1976077054223895,3.1852919700000006,-16.820835,-6.350312,1.001298387597447,4064.773110950254,8073.979343725217
s[77],12.496851938884369,12.480550000000001,3.261630832690424,3.2102737799999974,7.127687000000001,17.892274999999994,1.000623549577699,4335.951141515558,7685.140104765184
s[78],27.143359575,27.1727,3.3297226723171676,3.300934769999997,21.635579999999997,32.581825,1.001527349260082,3756.148752268034,7854.58133260621
s[79],-0.20592942052443125,-0.20524,3.2604910709912835,3.2265601409999998,-5.548221,5.1963255,1.002017156045226,3849.5291754325494,7528.261551861123
s[80],15.676424055625,15.7131,3.228267284071441,3.1858108800000005,10.315375000000001,20.947449999999996,1.0012771700876588,3655.1568416943983,7594.282025766831
