variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-66888.0743,-70829.7,6881.950560701759,1089.2662199999957,-71683.115,-53181.28,1.7793300318799994,5.9757007909769735,22.35290909353743
beta,19.0453871,19.0321,1.0278122960776146,1.017360119999999,17.326970000000003,20.714825,1.0004006620285963,2243.1577334752606,5345.460460076046
s[1],-2.6597108939618126,-1.807705,4.63475773098162,3.8518111085999998,-11.356325,3.7684489999999986,1.0063717314615503,607.6627196349598,1193.2124125479506
s[2],-0.24131175398687502,-0.1392185,4.1733760305929355,3.3697222209,-7.3974335,6.740383499999998,1.0062491912782172,4479.54105100032,3813.641753289022
s[3],-0.7573855439783937,-0.491701,4.162662719443928,3.4387557834000004,-8.0679225,5.817708999999999,1.0042755277287292,3537.1027736765054,3248.412805411463
s[4],-3.984860047343825,-2.938725,5.129166382433148,4.5485211723,-13.705155000000001,2.4861904999999984,1.0053959195054354,361.32839111255385,1565.5783912005886
s[5],0.2420155496029375,0.0882566,4.183176044771764,3.275345094,-6.54125,7.542721499999999,1.0067989497896561,4320.894780631884,2215.152563368314
s[6],3.5860898818895,2.58157,4.983624446250222,4.249116773999999,-3.0094754999999997,13.080649999999988,1.0024814410442802,433.62475406656716,2180.074436557724
s[7],-0.3764047238146875,-0.18487900000000002,4.148132792106789,3.2863889813999996,-7.6307655,6.3168745,1.0067491926302432,4073.6054177748333,4113.843755941407
s[8],-1.6019676181336375,-1.016385,4.2841343441528466,3.448927902,-9.449501500000002,4.728365999999997,1.0050374526920598,1979.219414958958,2223.526250742772
s[9],2.0414386160792564,1.431555,4.323259207007094,3.5447943006,-4.3963715,9.988648999999999,1.0047587179804598,1202.7821858107272,2831.1706379475645
s[10],-1.9332370671928125,-1.204505,4.614353559122688,3.7090426589999996,-10.61272,4.724523,1.0031315600782758,871.0068653526895,802.9151650714007
s[11],1.53823906204125,0.9170240000000001,4.322169594080809,3.4534261103999997,-4.869301,9.748205499999997,1.002752755519185,2128.462510785123,846.1887429653624
s[12],4.206371218524375,3.035405,5.315636107231937,4.681765399499999,-2.4491134999999997,14.366674999999987,1.0074069632412346,271.6987215378737,1620.945249042992
s[13],-0.2684512471476625,-0.1285595,4.182107500892555,3.3921732327,-7.5330995,6.443271499999997,1.004994316053544,4096.893773521124,2854.3349992255544
s[14],-0.5732516118391875,-0.3427255,4.1623945708556,3.4149385557,-7.801185,6.133182999999999,1.0047362616199047,3531.3649018295305,2522.229785520826
s[15],-1.1701931758294375,-0.7294895,4.2624380775121145,3.497349618,-8.761038,5.451395499999998,1.0027803349585978,3386.4985152902914,3570.1761356795714
s[16],-3.3576178391190625,-2.351325,4.807990393345098,4.0770988503,-12.386524999999999,2.882342499999999,1.0017811442223514,461.7496198421793,1864.9642310326403
s[17],-1.6297184225997687,-0.99300600000000006,4.305606170389522,3.506111784,-9.555204999999999,4.662304999999997,1.004704683767279,1504.5033361099229,2153.279060568568
s[18],-0.881504886750375,-0.5472295,4.190247931541255,3.4041096453,-8.137048499999999,5.792794499999993,1.0036969388518109,3002.798092052481,2806.3516645836976
s[19],3.2726759651874375,2.25938,4.930771785874638,4.021945388999999,-3.176859,12.784364999999998,1.0029203187087012,403.03116608541023,803.8971599725853
s[20],-2.057783049362375,-1.350235,4.449007310129432,3.661399307999999,-10.340435,4.3217125,1.0022214102132316,1167.4671201486888,2910.1109719463852
s[21],0.63741202444345,0.3759015,4.1425602196293,3.3715339581,-6.0225215,7.892884999999998,1.0028713136020577,3855.3888543849425,3321.9859077386345
s[22],0.6802699389948125,0.382233,4.226160271738692,3.362699886,-6.008863,8.078300499999996,1.0041496871430977,3159.435492319271,3025.8149795007002
s[23],-3.120689015317875,-2.21677,4.747812697800102,4.105475073,-11.99619,3.278467499999997,1.002958821100229,575.191424011026,2231.3943495245157
s[24],-0.19526830513425,-0.117299,4.233591046528166,3.417444891,-7.259878499999999,6.926532999999999,1.0058146782950748,1951.0086012980662,785.5200617898839
s[25],-3.452155204967625,-2.45722,4.9686429529470795,4.2754077198,-12.858095,3.1898345,1.0058066796785814,534.5253840784144,1409.299978621091
s[26],-2.1764771928108564,-1.423845,4.450621780617504,3.672511395,-10.44506,4.1282214999999995,1.0061381815890273,1114.015098736129,2345.40384364662
s[27],0.00890775104575,0.0211301,4.265169617259073,3.3518029242600003,-7.207322,7.145104499999996,1.0028635419290255,1858.1184287840983,616.6287440224061
s[28],-0.5141770082466375,-0.293065,4.156782444347681,3.2826691379999997,-7.740765,6.233330499999998,1.0055888670549145,5081.08097591502,3756.8117859684803
s[29],1.8087927774994375,1.15538,4.351264333504634,3.530337468,-4.538805,9.9250905,1.0056965661006056,1204.547041764954,1700.1171247878171
s[30],-3.5240164528467126,-2.4696350000000002,4.97473177627895,4.2492865317,-13.013174999999999,2.820551499999999,1.0045301437191674,405.82334532595576,1709.2890134349364
s[31],-1.554888019571625,-1.015525,4.266752184935957,3.503472756,-9.2897045,4.805809499999996,1.0016878350328564,2125.8494408541656,2410.002318546353
s[32],0.8790509536601188,0.526355,4.159831326902662,3.3683411789999997,-5.6540365,8.193652999999994,1.004301975130236,4232.6464991315615,3178.714828420219
s[33],0.4622436732109375,0.265431,4.208413361901276,3.342870111,-6.412281999999999,7.811204499999996,1.003953505771658,3554.1735205547357,2506.3273531770906
s[34],-3.2111037107066873,-2.2589,4.794416237934751,4.0008909864,-12.36914,3.2506879999999985,1.0034042336164342,532.2627420649312,2040.1581924535146
s[35],3.84292127567975,2.56762,5.329164852590858,4.408136002199999,-2.8664704999999997,14.171619999999997,1.0068320710972376,299.2373765324213,941.2373337065342
s[36],-1.8743331319973124,-1.1464050000000001,4.465454927695549,3.6534080940000004,-10.21759,4.5752915,1.0034936565325634,1560.0724346634438,2210.6931574942087
s[37],-1.095638534545175,-0.647,4.182159834474571,3.418312212,-8.667343999999998,5.446784999999999,1.0056500302393951,2587.2447367424948,3257.7793703149127
s[38],1.4643616864391875,0.831229,4.340574507019557,3.44615544,-4.8970305,9.423597999999991,1.0039280984205892,2149.1625598097467,2092.624763589412
s[39],-1.6687973371329374,-1.0611700000000002,4.305561306348505,3.5137990649999997,-9.502056,4.7947904999999995,1.0030415927283773,1850.4851923382726,3568.719458150934
s[40],1.4504608218271375,0.899206,4.25593020085439,3.4420575335999994,-4.9239525,9.130139999999999,1.003927625043521,1855.7796598813184,2110.953900938507
s[41],3.4674518181525626,2.4572,4.9302205358907925,4.2259259448,-2.8035609999999997,12.91014499999999,1.0041235216765236,467.1932448979241,1705.7652263969171
s[42],-1.7209155788768562,-1.12553,4.324111567512483,3.4824494879999994,-9.6598855,4.674834499999998,1.0020647775801146,1656.4309912738831,2091.776573753385
s[43],0.6002847711334375,0.33048,4.147532503581779,3.304707987,-6.0427349999999995,7.8320444999999985,1.003308137678173,3903.7096165618286,2923.0056830311687
s[44],0.0294531052754375,0.0524535,4.2072963034627096,3.4162417610999998,-7.174964,7.0056875,1.0055418341348654,4017.66906635315,2746.2210672833357
s[45],-0.1262344487001875,-0.08631225000000001,4.158300698766074,3.3250014451499994,-7.192569,6.778936999999999,1.0038125414773449,3088.1784775621495,3717.3628318482147
s[46],-1.70423150385125,-1.11246,4.288090339134547,3.472508655,-9.504807,4.688544499999997,1.003046498220039,2164.7916785594994,2739.953871255037
s[47],-1.3733887612885438,-0.8814075,4.200297419284438,3.4900737585,-8.8246805,5.037540999999998,1.0024688198614695,1972.8924687096217,2386.2951346255295
s[48],-2.7474087709390376,-1.8246799999999999,4.546769209641614,3.8236928583,-11.275025,3.4249579999999993,1.0033848687663798,733.1675461319701,2689.3250584808034
s[49],-0.8181967848962812,-0.42712300000000003,4.326502470465537,3.422078016,-8.676011,5.936216999999996,1.003265066322438,3469.9053500831956,2660.889091308756
s[50],-0.34684375276721874,-0.19595200000000002,4.208887705291421,3.307739904,-7.542612999999999,6.702824999999999,1.0042631553860508,3730.4331330344553,2391.0058389228666
s[51],-1.0273401008480625,-0.6539435,4.24410565041195,3.43355334,-8.459917500000001,5.5872934999999995,1.0033396266008174,3842.041533983915,2836.0175720019574
s[52],-2.012153521242969,-1.3336000000000001,4.4133642211450725,3.5633772089999995,-10.37031,4.523859999999997,1.0033144713269428,1301.0356544760614,2508.2032176269995
s[53],-3.978702064541969,-2.9154799999999996,5.107936039704023,4.5526746762,-13.908515,2.5088049999999997,1.0017153964391545,338.54839955526575,632.3627458464875
s[54],-1.633103045025375,-0.9984664999999999,4.363433141358339,3.562057695,-9.662293,4.806172499999997,1.0028230891789522,2546.191792098756,2377.4759080523695
s[55],-2.70360245181315,-1.9055900000000001,4.670427789667024,3.9819426170999996,-11.52874,3.6751839999999976,1.004575799545811,584.5585352619779,1701.073917984671
s[56],1.31058001182175,0.7986135000000001,4.215631334716139,3.3586375619999997,-5.073324,8.842857999999996,1.0036739830202088,2356.3891721154737,1637.3091517500845
s[57],-1.9196909745649313,-1.196695,4.426568575209568,3.621606323999999,-10.21317,4.490694999999997,1.0023710133735364,1597.4449976482647,2458.994288943597
s[58],3.394187620787056,2.40677,5.034457376452209,4.165959963899999,-3.2359124999999995,13.039505,1.0048551908202017,521.3127443809359,1719.4450269203148
s[59],0.686752232766675,0.442195,4.241086936623161,3.431944719,-6.223176,8.070076999999996,1.00392529716454,3409.83670280631,2943.084770588145
s[60],3.2542399663714376,2.294365,4.791675702320889,4.140371770500001,-3.0772885,12.642225000000002,1.0027183449298516,423.59530620546377,1169.8917133786274
s[61],2.0597212180846873,1.3903050000000001,4.379959926700302,3.6176181299999994,-4.4124435,9.957670000000002,1.0047557571901096,1049.9832295973356,1097.6910730784002
s[62],-3.140007460721269,-2.2153549999999997,4.8648066700431585,4.0746021519,-12.281005,3.3650834999999977,1.006634095167143,546.2453214245863,1034.964893879794
s[63],0.9260818075073125,0.5354460000000001,4.260236676607518,3.3971347536,-5.678091,8.336786499999997,1.0035300198288315,3628.949901130624,3023.3282409759963
s[64],-0.681347639910125,-0.3915185,4.255178032133652,3.3359708318999997,-8.168327999999999,6.077395999999998,1.0026522929443167,2414.704088329582,667.1939193978192
s[65],1.00770562539175,0.595221,4.251021019195243,3.541056666,-5.4244875,8.58009099999999,1.0023116103796654,2723.6219609868594,2652.000359515593
