variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-68739.50875,-68884.4,623.363327941339,376.87692000001726,-69292.70499999999,-67860.685,1.0223689749588913,190.70498347220484,115.78494098297573
beta,19.89082193125,19.91135,1.3475781757131473,1.3479057900000004,17.636155,22.098435000000002,1.0032738589685435,1554.1171013661708,3174.0381176861997
s[1],-12.280747331186875,-12.254,3.880459687102003,3.9022921559999983,-18.688605000000003,-5.935956000000001,1.0002913411072836,7636.344187914432,11496.406145421293
s[2],1.5648663955719375,1.5581450000000001,3.895220828809582,3.926792121,-4.835908999999999,7.951325999999997,1.000216925978283,7492.169375352348,12596.138788545668
s[3],-0.3814761350777,-0.4017475,3.9382888487955117,3.9026257409999996,-6.850834,6.153802999999999,1.0002667743902358,7655.350582863716,12253.372597825119
s[4],-15.44333922125,-15.435,3.9378647621520053,3.9111729300000007,-21.903505000000003,-8.934807000000001,1.0002593761794114,7844.048182493103,12582.38123135359
s[5],14.582135340875,14.5504,3.962065124312914,3.947867280000001,8.030279,21.042515,1.0003136808618442,7568.698261369223,12461.143249831315
s[6],12.523375868228126,12.514600000000002,3.91075757584144,3.927555659999998,5.989661,18.944219999999998,1.000431157459889,6652.491368516537,12680.156787540982
s[7],-8.18874383735825,-8.21935,3.900660552297699,3.928860348,-14.652769999999999,-1.7991210000000006,1.0005703396739665,7715.422763794562,12516.928721004557
s[8],-9.544825377183125,-9.551515,3.840892441873381,3.8430400470000006,-15.929519999999998,-3.2811850000000002,1.0009743352123777,7825.79223034598,12985.332941821942
s[9],0.4487329430140625,0.450661,3.87101955611028,3.88330005,-5.9281265,6.749418499999999,1.00023159335451,7286.235094848176,11001.48583140791
s[10],-9.905191764021875,-9.92682,3.99360928794592,3.949601922,-16.49511,-3.3157125,1.0003438080783502,7992.691474904405,13269.740861637674
s[11],7.0867321394,7.062405,3.9328187319229557,3.9230707949999992,0.5835794500000002,13.523729999999999,1.0005104477863893,7929.906719388394,12477.510159198793
s[12],23.06972252875,23.04535,3.960404878975096,3.93126216,16.600045,29.623345,1.0001248763267518,8215.689427870275,13388.901208195244
s[13],-3.1249145637046873,-3.09619,3.893781125328108,3.9206838089999994,-9.498182499999999,3.255797999999997,1.0001508106272756,7129.36372477026,11971.436207600373
s[14],-2.1449959847506874,-2.1287700000000003,3.9164698955807715,3.913164803100001,-8.5361415,4.330992,1.0009183533958512,8184.349291055107,11323.76050850475
s[15],-3.8848055196075624,-3.923495,3.913675186412997,3.874241364,-10.244045,2.6316529999999974,1.0005451406869306,7193.595603132812,12387.146692176022
s[16],-13.90159879351875,-13.930299999999999,3.93842567059081,3.89946039,-20.345715000000002,-7.396396,1.0005252276615018,7437.48058234926,11945.028196491476
s[17],-7.376468990965438,-7.383705,3.8962838950772802,3.9683197469999993,-13.72209,-0.9574443500000009,1.0003785297009373,7477.1393017341225,11972.342637109305
s[18],-4.19606814915325,-4.15175,3.893329654623249,3.9016768769999994,-10.550135000000001,2.225211999999998,1.000513279733873,7543.3599645174,12494.816295482298
s[19],14.9424945704375,14.915199999999999,3.929761564634383,3.9096903299999988,8.526023,21.43751,1.00042320513448,8185.772964194986,12816.472067039824
s[20],-7.76933247062375,-7.751205000000001,3.881262620736023,3.8479993439999998,-14.195929999999999,-1.3825645000000022,1.000613176220693,7404.3724768512975,13210.40876163115
s[21],5.674327608458944,5.7033249999999995,3.9087051694667143,3.915939489,-0.7468054499999998,12.026914999999997,1.0000986695837315,6556.3392630136095,11790.708591375722
s[22],0.508645668925375,0.4589,3.9688565641858764,3.9551839109999998,-5.979805,7.052023999999999,1.000382646194907,7576.615837513434,11878.266455669353
